radius_nm,temperature_C,pH,degradation_rate_per_hour,t50_hours,t90_hours,error
250,25,6.5,0.03,19.839679358717436,42.484969939879754,103.51540756864426
300,40,7.0,0.01,19.038076152304605,43.48697394789579,105.58929482210908
250,25,7.4,0.01,19.038076152304605,43.48697394789579,105.58929482210908
200,40,6.0,0.05,11.823647294589177,25.651302605210418,107.1266380456304
150,40,5.5,0.03,11.823647294589177,25.651302605210418,107.1266380456304
200,30,6.5,0.005,18.036072144288575,44.48897795591182,108.4969136670133
200,37,6.0,0.01,19.038076152304605,43.68737474949899,108.6302464648735
300,37,8.0,0.05,11.823647294589177,25.450901803607213,111.31457303384327
200,35,5.5,0.03,20.04008016032064,42.88577154308617,112.05673872795691
200,37,7.0,0.01,10.420841683366733,25.450901803607213,113.77721374612958
300,40,8.0,0.005,18.23647294589178,44.68937875751503,114.39889799639354
350,30,8.0,0.03,20.04008016032064,43.08617234468938,114.85672748302218
250,35,7.4,0.03,11.422845691382765,25.250501002004004,115.88483580387236
200,25,7.0,0.03,11.422845691382765,25.250501002004004,115.88483580387236
200,30,7.0,0.02,11.222444889779558,25.250501002004004,116.15632065734684
250,40,7.4,0.02,11.222444889779558,25.250501002004004,116.15632065734684
350,35,8.0,0.02,20.04008016032064,43.28657314629258,117.73703720065379
200,40,5.5,0.02,20.04008016032064,43.28657314629258,117.73703720065379
150,30,5.5,0.01,19.238476953907817,44.0881763527054,117.81414532471749
300,40,7.4,0.05,11.623246492985972,25.0501002004008,120.04224882631
350,37,7.4,0.02,20.04008016032064,43.48697394789579,120.6976678808519
150,25,6.0,0.005,18.23647294589178,45.09018036072144,121.52497379528589
300,35,6.5,0.03,20.240480961923847,43.48697394789579,123.96030538029967
250,37,6.0,0.03,20.240480961923847,43.48697394789579,123.96030538029967
150,30,6.0,0.03,11.422845691382765,24.849699398797593,124.66231059313019
200,40,6.5,0.02,11.02204408817635,24.849699398797593,125.28560126264557
200,25,8.0,0.02,11.02204408817635,24.849699398797593,125.28560126264557
150,35,6.0,0.02,11.02204408817635,24.849699398797593,125.28560126264557
150,25,7.0,0.005,9.619238476953909,25.0501002004008,125.56833105087938
200,37,8.0,0.005,9.619238476953909,25.0501002004008,125.56833105087938
400,40,7.4,0.03,20.240480961923847,43.68737474949899,127.00125702306408
250,37,6.5,0.01,19.438877755511022,44.48897795591182,127.39964899739354
150,35,5.5,0.05,11.422845691382765,24.649298597194388,129.17152943160872
200,35,6.5,0.03,11.222444889779558,24.649298597194388,129.44301428508322
300,25,8.0,0.02,20.240480961923847,43.8877755511022,130.122529628395
250,30,7.4,0.005,18.43687374749499,45.49098196392785,131.51208228079395
400,37,7.0,0.05,20.240480961923847,44.0881763527054,133.32412319629225
300,40,6.5,0.02,20.240480961923847,44.0881763527054,133.32412319629225
350,35,7.0,0.03,20.440881763527052,43.8877755511022,133.4654880904092
300,35,7.4,0.01,19.639278557114228,44.68937875751503,133.86388006473868
250,40,7.0,0.03,11.222444889779558,24.44889779559118,134.03255408612824
350,25,7.4,0.05,20.240480961923847,44.28857715430861,136.60603772675603
150,30,6.5,0.01,10.02004008016032,24.44889779559118,137.34820342086985
250,30,7.4,0.05,11.222444889779558,24.248496993987974,138.70241484973963
250,30,6.0,0.05,20.440881763527052,44.28857715430861,139.9489961887702
200,40,7.4,0.005,9.4188376753507,24.44889779559118,140.09036108288728
150,35,6.5,0.005,9.218436873747494,24.44889779559118,141.1650555620259
200,35,7.4,0.01,10.02004008016032,24.248496993987974,142.01806418448123
350,40,7.0,0.02,20.440881763527052,44.48897795591182,143.3112316818004
400,37,8.0,0.03,20.64128256513026,44.28857715430861,143.3722756133509
150,25,6.0,0.05,11.222444889779558,24.04809619238477,143.4525965759174
250,37,7.4,0.03,11.02204408817635,24.04809619238477,143.8044023919583
250,35,8.0,0.03,10.821643286573146,24.04809619238477,144.2365291705656
250,40,8.0,0.02,10.621242484969939,24.04809619238477,144.74897691173933
300,25,7.0,0.03,20.64128256513026,44.48897795591182,146.73451110638106
100,30,5.5,0.01,9.819639278557114,24.04809619238477,147.6019775020984
300,40,8.0,0.05,11.02204408817635,23.847695390781563,148.63490508070248
150,37,6.0,0.02,10.420841683366733,23.847695390781563,150.17224830422367
300,30,7.0,0.02,20.64128256513026,44.68937875751503,150.17706756197765
150,35,5.5,0.005,18.8376753507014,46.29258517034068,152.69111369030637
200,30,6.5,0.05,11.02204408817635,23.647294589178355,153.54572873201317
450,40,7.4,0.05,20.64128256513026,44.88977955911823,153.69994498014057
200,37,6.5,0.03,10.821643286573146,23.647294589178355,153.9778555106205
100,35,5.5,0.005,9.018036072144287,23.847695390781563,156.57061618226433
350,37,6.5,0.05,20.64128256513026,45.09018036072144,157.30314336087002
200,40,7.0,0.01,9.619238476953909,23.647294589178355,158.25735639615908
250,35,7.0,0.05,11.02204408817635,23.44689378757515,158.5368733458902
150,37,5.5,0.05,11.02204408817635,23.44689378757515,158.5368733458902
200,35,6.0,0.01,20.04008016032064,45.69138276553106,158.56578889241405
350,30,7.4,0.03,21.04208416833667,45.09018036072144,164.39066509773045
400,30,8.0,0.05,20.841683366733466,45.29058116232465,164.49026309131287
150,25,6.5,0.02,10.220440881763526,23.246492985971944,165.8187718121614
200,37,7.4,0.01,9.4188376753507,23.246492985971944,169.3143401030518
250,30,8.0,0.05,10.621242484969939,23.04609218436874,169.70469998112455
200,25,7.4,0.03,10.420841683366733,23.04609218436874,170.2974686848647
200,30,7.4,0.02,10.220440881763526,23.04609218436874,170.97055835117126
350,35,7.4,0.02,21.04208416833667,45.49098196392785,171.83802474688844
450,37,8.0,0.05,20.841683366733466,45.69138276553106,172.0982646656037
100,25,6.0,0.005,8.817635270541082,23.246492985971944,172.77938642816696
200,35,8.0,0.01,9.4188376753507,23.04609218436874,174.46612664206165
250,35,6.0,0.03,21.242484969939877,45.49098196392785,175.5022670591683
250,37,8.0,0.03,10.420841683366733,22.84569138276553,175.52957618644106
100,25,5.5,0.02,10.02004008016032,22.84569138276553,176.95607648162058
150,37,6.5,0.005,8.817635270541082,23.04609218436874,177.93117296717682
200,40,8.0,0.005,8.817635270541082,23.04609218436874,177.93117296717682
250,40,5.5,0.05,21.04208416833667,45.89178356713427,179.60666824631224
300,40,6.0,0.05,21.04208416833667,45.89178356713427,179.60666824631224
300,40,7.4,0.005,19.238476953907817,47.29458917835671,179.96329332010708
250,35,6.5,0.01,20.440881763527052,46.49298597194389,181.3512395532548
250,40,7.4,0.03,10.220440881763526,22.645290581162325,181.5150943168903
250,40,6.0,0.02,21.242484969939877,45.89178356713427,183.2709105585921
300,37,7.0,0.01,20.440881763527052,46.69338677354709,185.5970056345154
250,37,7.0,0.05,10.420841683366733,22.444889779559116,186.23475407729293
200,30,7.0,0.03,10.220440881763526,22.444889779559116,186.9078437435995
300,25,7.4,0.02,21.242484969939877,46.09218436873748,187.2757137521536
200,35,7.0,0.02,9.819639278557114,22.444889779559116,188.49498596391186
150,25,7.4,0.005,8.617234468937875,22.645290581162325,189.79136629973374
100,37,5.5,0.005,8.617234468937875,22.645290581162325,189.79136629973374
400,35,7.0,0.05,21.242484969939877,46.29258517034068,191.36083790828138
150,35,6.0,0.03,10.02004008016032,22.24448897795591,193.13432476174796
150,40,6.0,0.02,9.819639278557114,22.24448897795591,193.96805635318736
200,37,5.5,0.02,21.442885771543086,46.29258517034068,195.10540118312773
150,40,5.5,0.05,10.220440881763526,22.0440881763527,197.93430548471704
200,25,8.0,0.03,10.02004008016032,22.0440881763527,198.68771611359
200,40,6.5,0.03,10.02004008016032,22.0440881763527,198.68771611359
400,35,8.0,0.03,21.64328657314629,46.29258517034068,198.9302854205404
200,30,8.0,0.02,9.619238476953909,22.0440881763527,200.4355002590352
400,37,7.4,0.03,21.64328657314629,46.49298597194389,203.09573053923475
300,37,8.0,0.005,19.639278557114228,48.09619238476954,204.67644708254178
200,37,8.0,0.01,8.817635270541082,22.0440881763527,204.8949201007226
150,25,7.0,0.01,8.817635270541082,22.0440881763527,204.8949201007226
250,35,7.4,0.05,10.02004008016032,21.64328657314629,210.0354617049731
200,25,7.0,0.05,10.02004008016032,21.64328657314629,210.0354617049731
350,40,8.0,0.01,20.841683366733466,47.49498997995992,210.31015939695016
250,25,7.0,0.01,20.841683366733466,47.49498997995992,210.31015939695016
400,40,8.0,0.02,21.64328657314629,46.8937875751503,211.66758366432256
200,25,5.5,0.05,21.64328657314629,47.0941883767535,216.073991670716
300,37,6.5,0.02,21.64328657314629,47.0941883767535,216.073991670716
200,40,7.4,0.01,8.617234468937875,21.64328657314629,217.55832305894359
250,40,8.0,0.03,9.619238476953909,21.442885771543086,217.57760008995947
200,40,6.0,0.005,19.839679358717436,48.49699398797595,217.63543118300723
200,37,7.0,0.02,9.4188376753507,21.442885771543086,218.5719736065317
200,25,6.0,0.02,21.843687374749496,47.0941883767535,219.9791968706951
150,30,7.0,0.005,8.216432865731463,21.64328657314629,220.4306006803186
350,35,6.5,0.05,21.64328657314629,47.29458917835671,220.56072063967602
200,35,6.5,0.05,9.819639278557114,21.242484969939877,222.53822273806136
150,30,6.0,0.05,9.819639278557114,21.242484969939877,222.53822273806136
300,30,8.0,0.01,21.04208416833667,47.89579158316633,223.26914349741554
150,35,6.5,0.01,8.617234468937875,21.442885771543086,223.35267729848476
150,37,6.0,0.03,9.619238476953909,21.242484969939877,223.45227529206716
350,37,7.0,0.02,21.843687374749496,47.29458917835671,224.4659258396551
150,40,6.5,0.005,8.016032064128256,21.442885771543086,227.78157517439692
250,40,7.0,0.05,9.819639278557114,21.04208416833667,228.49321890273538
400,40,7.0,0.03,22.0440881763527,47.49498997995992,233.01850193372707
150,25,8.0,0.005,8.016032064128256,21.242484969939877,233.6562503765046
